	sample1	sample2	sample3	sample4	sample5	sample6
g1	5	8	6	16	82	27
g2	22	69	16	26	27	11
g3	1027	2608	1247	1366	2452	3763
g4	0	1	11	16	8	11
g5	32	37	16	95	65	142
g6	25	16	30	17	57	57
g7	157	193	258	233	291	269
g8	195	2808	6276	1644	7092	4382
g9	187	283	276	643	362	615
g10	217	260	355	521	547	659
g11	1	13	22	4	10	10
g12	4607	1229	2228	2878	5513	4142
g13	7622	5954	11160	11700	20875	23711
g14	55	74	88	14	136	114
g15	1122	1136	732	1484	2671	1529
g16	129	150	60	44	136	110
g17	386	258	176	499	670	568
g18	291	179	339	393	427	696
g19	344	0	381	2	166	41
g20	22	32	25	55	41	52
g21	22	21	7	19	17	14
g22	867	541	906	1105	1184	2204
g23	188	304	340	218	185	341
g24	56	256	96	25	441	255
g25	723	595	591	747	852	615
g26	1281	1376	824	917	1097	1692
g27	2117	1920	2719	3421	7543	3649
g28	818	557	1457	1657	2162	1710
g29	3711	1313	2662	1055	5084	2810
g30	66	252	818	4357	681	588
g31	657	1068	880	857	1380	1302
g32	166	404	283	196	171	268
g33	7255	8704	5415	3898	46357	35059
g34	795	3279	2806	4065	2164	3562
g35	1065	1159	1422	1597	1259	958
g36	351	220	255	521	946	543
g37	402	326	358	596	1494	1655
g38	7	0	17	0	50	4
g39	641	605	893	1650	1350	1583
g40	14	20	29	23	53	24
g41	107	99	91	89	146	108
g42	1030	1059	752	1178	2776	888
g43	3879	2438	3757	5850	7623	6403
g44	963	389	736	903	979	904
g45	1	5	3	4	17	9
g46	22	22	154	338	140	243
g47	177	150	203	226	356	318
g48	830	666	646	1064	946	1044
g49	221	164	273	243	240	170
g50	2351	2589	2807	6078	7242	7005
g51	577	657	519	833	1177	634
g52	373	98	60	1330	2448	2990
g53	131	107	176	122	268	201
g54	1771	1724	1304	2470	2820	3370
g55	29403	59347	60078	72882	94313	32299
g56	63	51	27	50	116	54
g57	354	335	208	323	730	968
g58	113	134	113	211	337	360
g59	17	35	30	60	94	49
g60	410	286	141	457	1021	747
g61	109	133	141	474	722	623
g62	8	1	0	5	1	3
g63	16	0	7	17	11	0
g64	73	23	34	39	72	99
g65	126	193	143	159	442	294
g66	86	143	75	286	149	133
g67	1139	1281	1676	1800	2835	2735
g68	4	8	7	10	23	13
g69	191	170	236	362	323	346
g70	1487	1495	1755	2898	2982	3532
g71	0	2	3	3	1	0
g72	131	252	507	3866	228	1578
g73	1891	1971	2732	2389	3052	1847
g74	94	100	48	206	178	90
g75	123	328	266	763	1132	1010
g76	3523	11351	7062	4235	4470	9063
g77	875	1136	817	1123	1242	1996
g78	820	1445	970	2610	2093	2809
g79	70	17	43	71	31	81
g80	20	1	6	5	4	5
g81	29	20	40	65	59	19
g82	70	107	55	140	212	95
g83	193	254	211	380	481	400
g84	9	285	0	151	131	114
g85	0	8	3	9	4	0
g86	66	22	27	55	340	332
g87	24	37	70	7	3	31
g88	121	129	73	147	111	168
g89	119	137	162	409	855	815
g90	395	280	309	391	569	238
g91	25	7	7	4	499	105
g92	877	1174	855	2402	3348	4418
g93	4	3	3	5	13	6
g94	5	13	41	17	47	6
g95	2276	1480	1149	1694	3094	1775
g96	3447	2523	2626	3981	6399	4196
g97	111	368	306	511	284	818
g98	221	118	280	1043	537	512
g99	5	4	5	8	12	8
g100	25	110	58	245	320	37
g101	233	140	152	295	293	393
g102	4669	3369	5563	6134	6306	7780
g103	292	284	18	153	35	84
g104	204	338	444	1248	1051	1931
g105	845	1228	941	920	1104	1257
g106	92	24	121	110	323	134
g107	4891	4812	6633	6603	10971	8952
g108	1308	634	2402	2091	2014	2600
g109	184	136	266	241	285	459
g110	2	14	3	7	4	3
g111	170	10	65	89	141	121
g112	8	5	3	6	22	22
g113	132	50	106	188	58	530
g114	967	586	596	1044	1584	2392
g115	3082	3921	2199	11250	14932	11021
g116	4	12	4	60	12	16
g117	16	10	16	26	29	27
g118	210	291	333	572	819	730
g119	102	67	74	143	405	214
g120	1326	1721	1159	3749	3457	2937
g121	303	369	391	988	716	1035
g122	10	30	13	77	46	25
g123	4	1	2	2	10	3
g124	1817	570	703	1306	1732	1648
g125	48	34	45	67	102	91
g126	540	717	489	836	511	1106
g127	1153	1208	1491	2442	2750	3265
g128	3690	8954	9267	16114	23817	17629
g129	24	35	53	70	58	56
g130	1586	1233	1754	3666	3529	4961
g131	124	119	39	273	140	102
g132	2154	2296	1958	9079	5618	2726
g133	9	15	48	63	6	8
g134	718	443	447	535	977	913
g135	9191	11462	13420	12077	14259	11997
g136	491	683	707	466	994	447
g137	1578	896	1936	2016	8349	7013
g138	4	21	26	33	20	82
g139	42	112	49	105	95	141
g140	21	17	8	4	31	12
g141	9	4	9	10	10	24
g142	330	603	437	424	586	868
g143	49	26	21	31	72	23
g144	61	5	158	46	99	96
g145	2124	1920	1953	2733	2282	1887
g146	389	555	429	856	1184	958
g147	247	453	480	340	633	243
g148	1135	1421	1703	2535	3700	1797
g149	470	228	704	1406	2458	1658
g150	199	183	316	282	513	452
g151	5482	3907	4301	9796	7278	6427
g152	40	49	696	2761	5974	323
g153	610	515	488	688	2102	1024
g154	1551	2310	2369	2403	5131	4271
g155	2	12	26	50	46	58
g156	567	371	697	431	260	596
g157	306	170	58	327	696	214
g158	809	498	1271	533	1959	842
g159	319	429	484	970	1230	1060
g160	563	744	1167	1187	1970	1403
g161	32	9	29	18	1	1
g162	692	691	583	485	2031	1514
g163	32	24	70	29	28	45
g164	1675	4662	1020	2105	3773	4024
g165	175	102	174	600	254	434
g166	2	2	6	2	7	7
g167	5	5	28	9	14	51
g168	737	240	788	904	1605	1175
g169	342	419	436	568	646	393
g170	33	51	32	48	25	51
g171	1028	834	944	990	1024	1123
g172	56	114	65	16	45	31
g173	2	27	95	2	12	1
g174	76	484	276	217	485	160
g175	1040	1516	999	2651	4011	3255
g176	349	515	363	1429	1861	929
g177	2	6	9	21	10	11
g178	1023	1138	1960	3537	3432	3002
g179	5	7	7	53	33	79
g180	243	261	171	501	550	712
g181	92	70	43	191	316	374
g182	9	22	22	11	4	1
g183	1320	1521	1056	4419	4960	4442
g184	714	878	572	930	1150	974
g185	613	625	564	1136	1629	1807
g186	10	3	8	4	8	5
g187	8	1	12	46	13	47
g188	179	192	322	650	429	226
g189	51	212	76	155	63	152
g190	0	4	10	5	66	22
g191	5	10	2	1	0	8
g192	16	30	37	67	51	53
g193	125	484	537	126	428	286
g194	18	10	0	48	15	36
g195	28	6	1	50	16	111
g196	64	84	117	46	247	96
g197	923	878	1052	2409	2736	2259
g198	135	154	91	278	142	192
g199	26498	14592	13925	38528	48027	38711
g200	3074	4432	7332	28157	57442	18964
g201	7	10	11	6	13	5
g202	20	17	19	26	17	8
g203	94	85	103	40	115	104
g204	0	8	6	7	15	25
g205	661	292	984	523	991	1414
g206	889	976	643	406	700	922
g207	16	1	5	4	13	4
g208	20	6	175	48	320	66
g209	1734	3568	578	705	1005	1298
g210	17	2	46	7	12	21
g211	12	81	47	62	53	91
g212	3	4	2	6	12	5
g213	116	48	398	250	107	1012
g214	3	1	7	0	35	37
g215	376	401	445	386	696	637
g216	3611	3034	3709	7586	8260	7387
g217	1116	1135	528	3012	2194	1171
g218	14	4	8	4	8	11
g219	162	111	162	146	218	224
g220	0	2	3	9	5	12
g221	3277	6853	3946	4701	6842	17166
g222	771	1107	984	1044	1303	983
g223	190	177	221	276	114	266
g224	110	102	166	113	160	193
g225	323	310	362	68	50	603
g226	7	6	12	16	22	20
g227	825	230	706	1826	2272	885
g228	359	335	347	327	541	428
g229	2011	2803	2331	2853	2943	3970
g230	143	164	122	77	230	133
g231	648	651	677	865	939	768
g232	1	0	10	3	10	16
g233	798	875	862	1519	2250	1520
