	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12
g1	5	1	2	2	3	1	1	12	6	4	2	1
g2	6675	4343	6228	9881	2248	4968	7661	9777	3105	4424	4123	8527
g3	20	10	5	12	11	23	16	5	20	21	52	57
g4	109	25	83	28	72	16	192	197	175	66	216	146
g5	0	52	0	0	15	5	65	79	155	3	37	28
g6	2427	2595	2226	2328	2859	1297	5310	7754	4183	4918	3932	3043
g7	475	220	475	976	864	632	186	834	441	1467	369	291
g8	15	5	15	28	7	9	24	27	6	3	25	4
g9	6	7	12	8	1	43	243	33	60	12	7	38
g10	3	7	14	37	29	15	40	11	71	19	12	18
g11	2951	3304	4229	4098	6136	4949	8637	6552	7860	5866	4086	2271
g12	25	22	18	10	27	13	14	83	26	117	22	45
g13	3101	3165	3731	4150	2386	6453	6378	4452	5560	6369	5188	2652
g14	58	38	55	55	62	50	123	99	130	107	43	40
g15	445	249	139	334	421	295	762	1540	1151	2078	603	548
g16	282	771	481	445	913	445	1724	2131	1378	1096	1673	1972
g17	572	682	500	972	735	899	1383	1312	2045	1091	1232	939
g18	39	94	132	127	107	8	111	148	133	107	26	81
g19	191	230	537	768	314	252	735	623	2552	1218	902	751
g20	7	35	20	31	47	45	31	42	26	36	41	45
g21	444	445	411	574	582	736	1178	918	891	1124	417	703
g22	2137	1969	1267	3817	2254	2342	7927	6805	9244	7686	5458	5558
g23	1474	1422	3250	1237	1827	1652	3567	4892	983	95	1151	2313
g24	4	1	5	3	10	5	2	19	43	1	10	23
g25	55	13	2	78	71	80	444	16	112	150	155	218
g26	6	14	8	3	0	3	44	17	5	8	3	39
g27	2362	2343	2055	4098	2236	4835	3405	3300	5894	6137	3224	3379
g28	65	34	40	49	71	68	93	45	125	50	76	56
g29	497	852	954	1174	784	524	1722	764	1486	945	1340	895
g30	83	230	117	254	133	177	552	211	606	161	127	409
g31	29	93	43	23	36	27	90	127	207	100	104	51
g32	320	239	320	366	375	199	883	1018	933	1089	661	912
g33	155	163	164	159	149	213	282	350	284	576	366	366
g34	9	38	26	13	14	15	78	20	54	39	37	32
g35	2	8	4	71	5	13	15	42	48	11	29	14
g36	1934	1241	944	1874	1326	1393	3913	2718	3532	4341	3769	2085
g37	3692	1939	1386	2038	2117	1839	5385	3458	2919	5231	3277	2541
g38	0	2	5	2	9	0	0	2	12	20	26	2
g39	43	16	50	141	197	36	144	130	46	123	61	162
g40	9	3	13	5	21	9	71	24	110	35	25	53
g41	409	692	697	659	338	1056	612	1985	453	762	1166	912
g42	1048	510	671	902	375	491	1636	1251	927	1425	1213	912
g43	3	11	18	5	11	2	68	114	40	21	11	57
g44	3	1	3	10	2	7	14	4	20	3	8	8
g45	14	15	7	13	9	18	66	62	67	59	62	36
g46	2676	1237	1895	2604	3191	2407	4665	5635	5410	4151	3396	3109
g47	734	947	829	1559	768	772	1254	1477	1574	2243	1685	1409
g48	13	6	0	26	35	3	51	159	231	13	1	2
g49	3402	1203	666	2236	1289	1079	2597	2054	1410	4358	763	2657
g50	23	40	48	0	10	17	1	73	56	22	16	30
g51	928	1092	1084	903	1546	860	1231	1632	1121	1369	1031	891
g52	306	522	93	744	195	409	483	348	184	1149	143	178
g53	309	318	301	265	314	308	638	583	848	877	469	587
g54	45	44	67	67	55	42	88	127	39	44	60	50
g55	39	35	24	38	42	66	243	124	243	254	215	175
g56	6382	6173	6067	8384	5242	12001	24627	13434	13241	18117	6708	10726
g57	1464	857	589	2190	1362	1024	1730	1506	3160	2622	1941	1833
g58	411	151	343	623	379	233	819	322	284	761	1063	66
g59	205	299	238	120	302	300	1055	904	1081	1261	608	607
g60	235	138	181	130	131	222	273	138	298	212	181	164
g61	8	12	6	22	0	32	74	8	32	154	25	4
g62	64	32	480	3	262	73	271	289	165	55	23	19
g63	1627	1483	915	1147	959	953	1413	3462	3616	3266	2068	1527
g64	545	697	484	611	513	1262	1496	680	1894	1859	829	688
g65	752	1208	479	974	561	669	830	1353	2803	964	994	1182
g66	677	118	975	1094	913	1312	1256	2751	2003	1873	2557	1420
g67	0	4	6	0	4	0	0	350	189	6	0	0
g68	211	456	143	408	143	390	666	261	557	307	198	304
g69	898	550	1199	1603	789	685	3875	3974	2442	1013	1006	1251
g70	2925	3513	3552	5950	2474	3881	9905	7789	12768	8436	3082	7286
g71	38	19	46	19	27	6	54	44	28	17	60	19
g72	12	4	2	5	4	16	4	43	4	29	37	4
g73	3196	1980	516	1757	1781	1241	3696	6854	2043	7903	1903	2136
g74	104	51	58	63	22	48	63	122	93	123	55	135
g75	0	17	2	0	7	14	95	30	8	31	0	0
g76	148	316	263	363	320	831	151	308	475	453	232	73
g77	564	329	177	354	409	397	964	906	791	730	666	912
g78	1779	3615	2058	1974	2192	2288	4132	3939	4094	6400	2667	1647
