	upregulation	downregulation	differential.expression
g1	1	0	1
g2	1	0	1
g3	1	0	1
g4	1	0	1
g5	1	0	1
g6	1	0	1
g7	1	0	1
g8	1	0	1
g9	1	0	1
g10	1	0	1
g11	1	0	1
g12	1	0	1
g13	1	0	1
g14	1	0	1
g15	1	0	1
g16	1	0	1
g17	1	0	1
g18	1	0	1
g19	1	0	1
g20	1	0	1
g21	1	0	1
g22	1	0	1
g23	1	0	1
g24	1	0	1
g25	1	0	1
g26	1	0	1
g27	1	0	1
g28	1	0	1
g29	1	0	1
g30	1	0	1
g31	1	0	1
g32	1	0	1
g33	1	0	1
g34	1	0	1
g35	1	0	1
g36	1	0	1
g37	1	0	1
g38	1	0	1
g39	1	0	1
g40	1	0	1
g41	1	0	1
g42	1	0	1
g43	1	0	1
g44	1	0	1
g45	1	0	1
g46	1	0	1
g47	1	0	1
g48	1	0	1
g49	1	0	1
g50	1	0	1
g51	1	0	1
g52	1	0	1
g53	1	0	1
g54	1	0	1
g55	1	0	1
g56	1	0	1
g57	1	0	1
g58	1	0	1
g59	1	0	1
g60	1	0	1
g61	1	0	1
g62	1	0	1
g63	1	0	1
g64	1	0	1
g65	1	0	1
g66	1	0	1
g67	1	0	1
g68	1	0	1
g69	1	0	1
g70	1	0	1
g71	1	0	1
g72	1	0	1
g73	1	0	1
g74	1	0	1
g75	1	0	1
g76	1	0	1
g77	1	0	1
g78	1	0	1
g79	1	0	1
g80	1	0	1
g81	1	0	1
g82	1	0	1
g83	1	0	1
g84	1	0	1
g85	1	0	1
g86	1	0	1
g87	1	0	1
g88	1	0	1
g89	1	0	1
g90	1	0	1
g91	1	0	1
g92	1	0	1
g93	1	0	1
g94	1	0	1
g95	1	0	1
g96	1	0	1
g97	1	0	1
g98	1	0	1
g99	1	0	1
g100	1	0	1
g101	1	0	1
g102	1	0	1
g103	1	0	1
g104	1	0	1
g105	1	0	1
g106	1	0	1
g107	1	0	1
g108	1	0	1
g109	1	0	1
g110	1	0	1
g111	1	0	1
g112	1	0	1
g113	1	0	1
g114	1	0	1
g115	1	0	1
g116	1	0	1
g117	1	0	1
g118	1	0	1
g119	1	0	1
g120	1	0	1
g121	1	0	1
g122	1	0	1
g123	1	0	1
g124	1	0	1
g125	1	0	1
g126	1	0	1
g127	1	0	1
g128	1	0	1
g129	1	0	1
g130	1	0	1
g131	1	0	1
g132	1	0	1
g133	1	0	1
g134	1	0	1
g135	1	0	1
g136	1	0	1
g137	1	0	1
g138	1	0	1
g139	1	0	1
g140	1	0	1
g141	1	0	1
g142	1	0	1
g143	1	0	1
g144	1	0	1
g145	1	0	1
g146	1	0	1
g147	1	0	1
g148	1	0	1
g149	1	0	1
g150	1	0	1
g151	1	0	1
g152	1	0	1
g153	1	0	1
g154	1	0	1
g155	1	0	1
g156	1	0	1
g157	1	0	1
g158	1	0	1
g159	1	0	1
g160	1	0	1
