	sample1	sample2	sample3	sample4	sample5	sample6
g1	6	10	4	3	4	2
g2	36	10	33	16	38	34
g3	76	134	251	51	285	81
g4	3773	5004	3136	3156	5304	2472
g5	110	241	26	19	100	83
g6	5144	6516	8037	12388	22874	7711
g7	1	3	7	6	4	6
g8	106	213	51	110	190	108
g9	16	18	21	37	58	18
g10	236	318	267	676	786	348
g11	1896	1130	1287	4007	3942	4654
g12	79	220	155	165	272	91
g13	0	0	8	2	3	1
g14	337	1043	869	1726	1547	1091
g15	1230	1225	941	1214	1600	1515
g16	7	6	8	7	28	22
g17	166	133	88	207	502	268
g18	1350	3532	2175	2121	2763	1688
g19	1	142	205	223	16	68
g20	57	20	11	7	36	50
g21	182	378	102	138	278	172
g22	1814	2072	2185	5317	5157	2568
g23	2105	2810	2054	3818	3945	3396
g24	7	21	7	19	4	2
g25	150	222	111	174	570	112
g26	106	74	97	185	162	66
g27	538	214	241	1104	477	909
g28	96	46	69	442	107	320
g29	2749	3197	2274	4677	5740	4435
g30	5	15	8	13	11	11
g31	191	534	1154	1443	2453	873
g32	637	269	258	1673	1815	252
g33	14	7	0	17	11	14
g34	132	167	149	332	533	296
g35	5	8	4	5	2	5
g36	4	73	63	139	26	380
g37	62	94	55	141	113	150
g38	8	116	59	22	31	1
g39	9	57	30	46	27	100
g40	42	43	95	15	105	44
g41	1121	2418	34	1254	346	104
g42	188	236	119	260	72	55
g43	12543	23053	17163	19107	21154	11292
g44	142	287	261	1010	1240	519
g45	1114	1424	1621	1534	2690	2347
g46	3	45	6	11	15	18
g47	637	74	696	215	927	1488
g48	4	0	1	1	26	0
g49	411	635	338	799	1051	1625
g50	832	599	1370	1894	737	2087
g51	135	128	103	224	255	147
g52	48	106	31	60	110	44
g53	178	172	88	419	365	340
g54	50	118	84	140	278	94
g55	3178	3229	2279	10419	11990	5000
g56	7	47	33	287	338	68
g57	21477	8505	10788	11197	24251	16422
g58	1164	1675	1060	2067	2876	1327
g59	196	172	144	367	247	318
g60	17	13	17	17	77	2
g61	1271	1642	1699	2477	4266	2249
g62	282	88	85	676	519	240
g63	21	39	26	5	24	13
g64	1533	3032	1373	3499	4748	2893
g65	117	153	149	130	185	97
g66	57	39	44	51	85	52
g67	44	80	105	134	191	146
g68	2	7	1	2	1	6
g69	587	936	599	1593	1881	560
g70	4	7	17	9	7	7
g71	60	33	79	60	71	43
g72	11922	10795	15371	13779	24888	12419
g73	2602	1574	2333	7438	7049	3710
g74	52	117	85	51	108	111
g75	3	51	21	39	91	41
g76	404	709	391	901	1030	575
g77	154	17	37	171	205	37
g78	219	327	302	261	647	353
g79	4	14	3	9	19	5
g80	1230	3238	1390	6354	5712	4455
g81	140	20	38	250	155	214
g82	12	52	35	19	48	14
g83	5205	1833	2257	19918	15829	4552
g84	9	31	19	14	38	8
g85	1533	1956	1960	2294	3615	2534
g86	5715	3863	6780	3320	2015	1420
g87	165	312	129	305	283	279
g88	1298	645	548	2990	1070	837
g89	19	4	26	12	43	18
g90	0	2	0	5	2	5
g91	1486	5190	4243	4658	4031	1579
g92	819	1795	426	1418	2122	1169
g93	121	74	83	256	205	29
g94	5	1	0	9	34	7
g95	8	2	0	4	26	4
g96	329	636	571	1355	1594	758
g97	6	15	11	29	22	28
g98	1651	2836	2400	3402	3548	2401
g99	250	49	40	161	155	150
g100	2148	709	1001	418	5334	161
g101	281	515	369	741	1156	574
g102	263	554	452	390	595	564
g103	259	448	578	376	1082	523
g104	15	6	4	7	10	0
g105	1157	1253	1206	2016	3431	2277
g106	1530	2788	2458	7533	17501	6971
g107	2318	3843	2690	3795	5333	5123
g108	3	8	5	32	6	16
g109	262	281	387	754	1081	1259
g110	641	643	194	1534	2377	1490
g111	892	967	566	1840	5566	1439
g112	104	1323	518	527	3821	1283
g113	739	1286	873	905	1983	647
g114	34	186	329	47	342	532
g115	3	3	10	2	0	8
g116	1814	3008	2071	8770	7786	7951
g117	561	761	337	558	707	835
g118	0	28	39	86	26	6
g119	20	18	6	10	17	18
g120	304	1885	1076	1051	5604	439
g121	41	41	84	81	28	65
g122	860	971	609	823	2081	503
g123	204	601	237	791	1523	876
g124	190	717	785	145	2266	1574
g125	0	2	5	1	16	3
g126	537	299	105	261	467	255
g127	96	134	82	64	453	105
g128	3	3	5	5	21	10
g129	95	168	154	168	123	70
g130	1132	830	864	874	1360	754
g131	3923	3483	3269	3415	5352	3781
g132	957	2448	2908	2790	6997	3182
g133	3	95	5	6	12	6
g134	6	16	9	8	19	9
g135	0	2	20	56	6	39
g136	2133	3184	3574	5240	7879	9181
g137	6	15	10	21	14	23
g138	26	33	35	61	63	27
g139	932	2415	2811	4333	6842	6609
g140	1242	1799	1516	2166	1796	1106
g141	189	7	56	21	74	36
g142	104	85	136	161	144	93
g143	2446	4992	3123	8175	12623	5592
g144	1678	1384	1620	980	1455	1134
g145	1260	1847	1305	2764	4827	3302
g146	7205	9952	8540	17424	18937	13825
g147	1	0	0	103	31	29
g148	831	456	791	2656	2946	852
g149	56	13	6	80	24	7
g150	13	42	12	17	75	107
g151	10	10	7	30	6	1
g152	148	1142	542	707	979	362
g153	306	556	65	2095	1342	376
g154	5	12	12	37	29	11
g155	12399	10842	12525	12923	26920	14815
g156	2	40	35	20	0	16
g157	2	0	21	30	135	1
g158	1542	2723	1537	3579	4145	3244
g159	430	1330	531	873	1822	1679
g160	37	24	16	73	286	158
g161	221	172	218	686	477	462
g162	6335	4083	6226	14222	5732	6268
g163	5	7	43	3	28	0
g164	31	35	31	24	41	8
g165	45	61	257	106	174	75
g166	26	33	51	124	176	77
g167	945	530	208	3908	4029	1128
g168	25124	30030	30200	53498	45623	40227
g169	15	1	36	2	65	7
g170	85	112	388	111	201	61
g171	14	8	13	13	64	55
g172	118	392	372	350	415	264
g173	3298	6377	5590	7551	12851	6864
g174	28	22	31	37	16	30
g175	34	33	27	122	219	163
g176	765	677	1015	1827	1754	1010
g177	1830	1446	2441	1951	3947	2254
g178	14	60	32	53	46	60
g179	43	55	71	103	185	68
g180	77	85	144	224	328	124
g181	12	63	22	95	32	88
g182	9	26	36	48	36	79
g183	115	152	95	214	220	167
g184	1	5	0	4	6	11
g185	351	351	239	433	516	354
g186	3	4	0	9	2	3
g187	3	2	0	30	0	43
g188	896	1048	724	925	1716	547
g189	215	294	238	313	467	304
g190	76	208	15	119	327	144
g191	775	738	786	1120	1285	840
g192	2	8	5	7	0	2
g193	25	61	44	53	187	60
g194	30	24	7	41	60	20
g195	67	419	108	320	603	350
g196	549	1617	963	577	1250	816
g197	1085	1160	866	2382	3230	2293
g198	46	2	14	118	128	127
g199	572	950	1564	1428	1551	1166
g200	384	467	523	798	1438	427
g201	28	21	18	36	86	31
g202	209	243	152	839	928	527
g203	6	1	2	4	4	1
g204	372	862	551	1133	2404	620
g205	3	2	1	1	12	1
g206	831	1193	954	2016	2062	1576
g207	1094	1560	1118	1258	2092	982
g208	111	129	230	348	285	376
g209	280	546	363	910	900	588
g210	307	401	254	628	988	564
g211	20	20	12	81	96	28
g212	2	0	1	25	47	0
g213	496	730	786	1016	2490	769
g214	5	25	25	34	30	9
g215	262	209	316	389	365	234
g216	53	116	25	84	88	72
g217	27	83	40	30	79	57
g218	2533	2736	3618	4809	6856	3981
g219	1187	74	759	96	681	139
g220	2503	3133	3704	2585	7181	3329
g221	2677	1461	2962	2064	4530	1622
g222	79	77	28	47	24	257
g223	166	204	228	438	232	124
g224	329	248	62	30	1180	546
g225	36	20	16	48	27	34
g226	1842	1032	1337	2821	1968	3235
g227	2	16	4	3	1	1
g228	3	4	1	5	21	7
g229	17979	10293	8254	19023	26431	11816
g230	119	179	261	198	420	213
g231	6286	6656	6153	7931	10740	12426
g232	1592	1761	1161	4394	5749	3005
g233	1780	1400	2367	3925	3249	1666
g234	356	1224	169	547	958	787
g235	2213	3356	2438	4145	1284	3059
g236	17	43	34	54	30	40
g237	186	1796	848	985	3998	1346
g238	529	504	292	377	896	482
g239	4066	7171	5451	13547	13130	8891
g240	221	383	740	4394	1385	1226
g241	231	205	157	328	776	225
g242	17	24	34	38	36	28
g243	773	635	473	582	748	430
g244	2	5	1	24	12	0
g245	1027	996	800	2086	3811	2407
g246	13	7	13	15	63	4
g247	309	431	912	2350	1417	1990
g248	5	7	14	20	17	14
g249	11	6	25	10	51	5
g250	90	114	23	195	146	102
g251	416	336	293	558	1951	202
g252	58	5	0	27	28	6
g253	603	1480	1409	1311	2090	2549
g254	142	233	226	254	627	380
g255	5	7	6	18	7	4
g256	121	133	87	67	79	79
g257	332	728	312	1652	1857	1560
g258	6	9	0	206	51	33
g259	612	1456	1434	2440	8115	1595
g260	18	16	94	52	27	236
g261	19	10	22	26	17	18
g262	1757	2963	2642	3901	5883	1906
g263	1195	1593	1476	1565	1659	1895
g264	1219	2002	1769	3626	5791	3221
g265	264	270	370	503	1408	682
g266	1704	2624	2096	5647	6144	4430
g267	598	979	1082	3897	1449	1526
g268	305	504	309	393	815	362
g269	1329	1897	1106	2180	3224	1474
g270	44	0	87	148	45	18
g271	377	172	191	262	1039	84
g272	837	248	744	908	944	293
g273	9	207	98	9	2	37
g274	20	41	19	24	33	38
g275	328	660	517	346	889	781
g276	136	172	142	199	260	109
g277	60	32	61	92	292	82
g278	42	22	2	61	25	30
g279	5935	8522	5106	8315	14080	6878
g280	1	92	140	113	419	66
g281	1875	2115	2158	3918	4926	4482
g282	50	4	29	23	74	158
g283	1371	1415	1617	2155	3726	1544
g284	66	40	47	88	74	63
g285	330	1519	856	1179	2874	1626
g286	72	69	77	332	496	192
g287	316	550	491	1379	2881	1096
g288	2050	2657	2336	9777	9802	6017
g289	22	4	53	41	2	203
g290	333	382	482	737	1165	390
g291	90	174	93	273	558	217
g292	1355	3987	1935	3396	2113	1290
g293	370	161	145	293	104	191
g294	4185	4137	2803	19852	31340	29218
g295	5051	7235	4207	15086	19094	8417
g296	19	30	16	49	58	31
g297	73	491	1368	455	1162	48
g298	2	24	11	29	11	4
g299	468	520	647	1068	392	330
g300	116	95	146	608	735	164
g301	0	22	1	1	7	2
g302	59	9	28	0	7	55
g303	181	31	197	717	886	85
g304	42	57	17	57	145	63
g305	962	1606	2162	376	1374	1451
g306	466	610	525	972	1004	607
g307	5531	12954	8679	4994	10678	8185
g308	1652	1993	2632	1601	3207	1444
g309	25	54	64	8	91	29
g310	159	537	327	469	541	128
g311	2103	1825	1492	3679	4439	2194
g312	4941	6701	3660	6022	6765	3680
g313	126	125	76	278	186	78
g314	154	201	97	253	210	165
g315	4	15	27	6	125	70
g316	409	877	574	351	1668	602
g317	301	140	123	275	170	767
g318	601	600	638	822	2398	586
g319	8057	32882	9744	22114	49550	21429
g320	3	4	6	6	8	6
g321	58	139	75	158	203	136
g322	2156	2464	2226	8469	15010	5975
g323	782	1131	1046	2022	2619	1745
g324	669	835	798	827	818	861
g325	4500	2342	2738	8446	11866	8289
g326	19	33	87	180	147	91
g327	115	46	28	118	311	27
g328	229	382	451	223	752	577
g329	5	25	15	17	33	6
g330	44	26	11	24	71	72
g331	381	483	386	960	960	1419
g332	237	1754	556	323	538	514
g333	706	990	946	578	643	1182
g334	2	9	8	7	0	5
g335	234	433	426	520	534	626
g336	6	12	2	6	22	4
g337	147	502	190	342	303	258
g338	0	97	12	2	13	37
g339	2387	4299	2978	4916	4196	4082
g340	47	47	51	114	251	96
g341	618	461	235	164	559	18
g342	0	4	5	0	0	18
g343	209	447	283	342	300	289
g344	1762	1826	2250	2699	4157	2449
g345	94	68	23	51	33	36
g346	54	106	49	187	376	425
g347	2595	3453	3275	2766	4307	1755
g348	629	963	889	1571	1306	867
g349	4	6	3	0	0	22
g350	784	789	492	627	638	1720
g351	853	1240	754	1863	2008	636
g352	3203	961	3058	1888	7626	2693
g353	869	1632	1700	4127	5004	3579
g354	154	340	294	344	394	285
g355	39	54	48	94	79	56
g356	465	207	231	969	3065	850
g357	19	11	63	77	5	63
g358	255	714	1179	384	165	404
g359	534	309	261	343	596	364
g360	74	30	34	16	218	46
g361	75	27	39	141	144	70
g362	5	64	10	31	4	38
g363	1213	1736	2036	3821	6053	1541
g364	3324	3337	4612	4155	6245	2116
g365	72	64	106	206	222	179
g366	1401	1550	1272	2492	3243	2220
g367	106	103	91	74	213	180
g368	55	23	13	20	71	11
g369	2073	2368	2542	2775	4203	2545
g370	1	1	4	2	15	1
g371	2783	1676	1137	2571	2383	1388
g372	1602	1858	1306	2560	2828	1585
g373	1246	1200	1234	1299	2035	1058
g374	42	55	64	85	178	78
g375	24	104	377	221	532	32
g376	33	51	26	122	265	98
g377	70	148	46	155	202	141
g378	567	421	682	1452	2124	995
g379	468	397	441	692	963	740
g380	4904	9330	6207	8951	11766	5001
g381	409	1837	2209	8724	3093	2518
g382	8	0	23	5	34	22
g383	18	30	24	16	21	11
g384	288	905	581	667	1177	1674
g385	4461	5143	7379	8739	16971	15543
g386	100	22	38	35	85	42
g387	834	1748	616	2663	3772	2045
g388	973	2268	1765	5414	7138	4971
g389	106	82	28	61	120	186
g390	3	1	5	27	69	11
g391	23	7	29	7	14	18
g392	729	1036	666	2071	2702	1464
g393	153	174	86	199	432	222
g394	29	17	13	18	30	26
g395	12	15	20	46	81	28
