	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18
g1	1715	1463	1099	3301	2471	1218	2737	1824	1629	2878	2498	3875	5961	1815	2103	3738	4475	2574
g2	84	75	78	105	112	76	169	147	135	295	193	262	225	279	329	207	717	142
g3	475	644	477	1177	654	612	1184	562	538	1780	823	964	2103	1184	1107	2425	3212	1523
g4	1718	2365	2306	3012	1775	1906	3271	1693	1175	3738	2737	4929	4608	4843	4757	6044	3841	3134
g5	9327	18743	8804	18683	12058	7455	20433	15662	12388	17314	14348	15452	32407	11122	14328	23143	31462	14229
g6	6	9	5	10	7	2	5	5	7	28	19	9	23	15	35	37	6	22
g7	802	1053	693	1104	932	1115	1055	1224	1294	2261	2445	2338	2624	1535	1473	5100	4548	1255
g8	1353	115	762	491	968	1047	776	734	953	1882	3058	1806	1664	408	1334	3468	1014	684
g9	1028	335	164	1452	653	407	1223	675	488	863	707	1328	1445	751	1551	1332	3178	1068
g10	8959	9690	7951	24734	4450	10399	11459	16041	6066	20189	15527	9523	25945	18618	7786	30094	24472	38735
g11	39	32	58	90	61	48	180	78	27	76	60	101	96	26	84	105	98	60
g12	5	10	12	34	55	3	30	12	5	107	21	19	35	35	16	58	29	43
g13	141	134	184	143	43	86	141	106	138	290	232	205	253	115	364	541	437	52
g14	437	523	288	353	526	198	573	575	304	622	333	339	505	613	474	698	659	565
g15	0	12	5	10	0	0	3	0	3	7	0	2	2	32	0	8	6	0
g16	25	63	2	16	55	46	88	0	22	37	20	1	27	44	3	9	43	0
g17	130	124	62	244	153	100	343	251	263	160	701	812	504	765	565	757	249	304
g18	210	299	166	386	219	297	517	162	190	299	87	348	269	278	89	445	307	234
g19	94	141	59	91	85	86	181	238	90	122	116	93	165	174	67	209	191	64
g20	450	540	375	1868	1137	747	2319	3737	696	3967	2094	2201	989	4835	1738	1576	2165	1799
g21	3	2	0	0	8	6	0	2	1	0	24	39	0	2	233	0	0	4
g22	5846	11965	3259	5671	11542	1786	12949	7468	7533	53579	12504	8408	19785	19679	7749	11679	48136	10418
g23	993	1017	1161	1141	1017	1518	2139	1486	1040	1312	1170	1248	3364	890	1745	2921	2858	1032
g24	3346	3159	3586	6375	3637	2398	6725	4489	3666	5570	4314	4172	5477	4865	4952	6895	10363	3802
g25	2	1	1	3	6	9	4	1	2	9	8	29	4	2	8	13	7	7
g26	429	540	311	741	687	330	835	889	581	1961	1535	1491	1763	1642	2202	1489	3329	975
g27	4	9	15	5	4	0	12	5	2	3	5	0	13	4	1	11	22	7
g28	7	0	0	0	0	1	0	0	0	2	0	0	11	3	0	0	34	0
g29	5	9	5	4	2	5	16	7	1	13	12	12	26	18	9	26	35	12
g30	11	14	31	52	4	23	30	78	47	26	12	23	32	28	9	43	32	42
g31	161	86	167	156	203	98	298	308	137	153	19	311	158	162	118	150	249	205
g32	55	58	27	74	59	50	112	84	36	178	111	129	160	149	143	359	277	137
g33	1243	2097	892	1169	702	1088	1138	2855	824	1574	916	1125	1718	755	1193	2808	1406	1495
g34	49	69	67	46	97	42	104	76	67	244	87	240	196	242	209	332	322	90
g35	17	27	18	38	19	24	49	33	25	86	33	77	107	68	42	75	117	60
g36	30	13	1	18	27	2	28	0	19	31	84	27	57	48	38	139	53	41
g37	146	350	31	4	49	267	178	108	156	248	313	365	587	799	206	453	364	79
g38	10798	23134	4870	21617	6047	8724	13237	30446	2224	11252	13382	14810	9657	14232	16880	22886	18220	9005
g39	214	326	81	405	102	59	304	259	188	457	366	359	131	276	57	566	1129	260
g40	880	1051	770	807	914	967	1310	1775	1170	1105	394	1168	732	1311	1287	1589	2539	578
g41	1000	1081	854	1483	630	716	819	491	1143	2136	864	814	1937	1031	1200	2184	2059	2021
g42	4464	7810	4761	12326	6470	7696	10428	7913	9446	22477	9272	12629	15360	13207	9696	22253	24867	15550
g43	552	629	396	505	709	284	647	447	455	1100	817	1705	1404	1286	1372	1578	1626	1011
g44	694	611	538	493	532	476	805	671	574	1543	1204	1549	1448	1297	1128	2580	1720	1360
g45	742	1363	465	1302	1401	586	1869	1412	530	1238	1897	2617	1979	2167	1118	3510	3078	1297
g46	809	969	1334	1595	1403	1132	1310	1102	922	2880	1099	2108	2956	2082	2823	2735	3624	2330
g47	2801	1486	1173	5398	1204	2418	3212	1898	2800	3891	2900	3092	4487	3872	4468	5937	4254	3977
g48	240	612	611	1876	597	991	3820	1033	2236	493	3272	3389	1095	3057	1639	692	4484	1818
g49	341	457	212	438	402	235	484	523	276	265	637	735	836	441	473	1053	1560	754
g50	2	8	2	3	7	4	0	3	6	14	4	22	9	11	1	3	19	4
g51	33	10	62	83	99	50	17	72	15	30	115	158	123	56	50	279	48	34
g52	353	383	345	674	551	567	378	616	447	574	548	1292	1229	290	701	1175	774	883
g53	259	397	135	225	166	184	283	530	188	322	299	496	750	223	493	976	860	762
g54	11	197	18	28	84	36	41	254	46	363	18	243	34	18	111	307	292	221
g55	78	91	69	72	44	77	104	89	98	229	142	150	221	102	43	386	89	98
g56	1395	1965	993	1683	1807	1004	2122	1176	1525	5428	2006	3581	3499	2484	3658	4487	3779	3611
g57	42277	40518	38871	94022	81954	61192	128317	62314	48539	132369	141415	120130	47971	218079	147220	159853	419392	139058
g58	54	87	182	241	136	58	126	419	70	160	91	87	97	196	94	150	128	97
g59	0	27	2	35	37	1	13	24	7	2	2	12	23	40	1	20	1	9
g60	3	6	2	1	3	4	2	0	5	3	2	1	7	1	5	4	6	3
g61	29	46	19	10	65	42	0	47	27	7	57	30	11	33	42	269	137	18
g62	4	5	3	6	3	6	3	5	6	5	9	3	2	6	7	5	4	4
g63	269	887	260	752	144	464	461	642	171	513	465	231	1242	315	311	1191	689	779
g64	99	83	67	85	91	92	117	84	89	183	203	186	229	148	287	340	376	305
g65	18	30	18	123	43	23	45	30	24	111	102	106	109	59	118	121	75	52
g66	447	962	455	1169	585	599	926	668	394	1966	1102	2584	2531	2381	1864	3061	2584	983
g67	0	0	1	0	49	0	0	1	10	1	5	5	0	0	0	0	0	0
g68	17	17	2	38	6	13	68	9	13	75	74	70	17	20	19	53	55	15
g69	2087	2278	1558	1942	1697	1303	3426	2015	908	7038	4908	4519	13342	7827	4756	9358	14490	4883
g70	79	54	88	79	125	38	85	74	73	133	37	114	126	150	70	138	61	89
g71	12	13	4	26	9	9	7	8	13	13	3	7	20	3	4	8	5	14
g72	91	171	181	204	166	18	111	63	235	138	120	108	143	176	101	177	244	211
g73	101	202	57	214	545	132	210	590	193	314	335	231	208	282	78	337	863	676
g74	120	236	136	186	288	148	501	186	84	414	53	83	354	140	37	141	208	280
g75	231	106	142	119	240	86	244	201	180	707	481	365	811	551	485	567	815	337
g76	106	318	211	11	47	670	302	6	477	1139	1103	2712	1276	470	948	195	213	2161
g77	56	23	19	45	48	18	56	48	3	31	38	94	48	155	15	38	213	24
g78	9	272	48	13	35	8	36	30	24	129	73	68	61	190	25	56	36	51
g79	37	343	13	43	268	35	346	43	43	209	135	101	161	326	24	40	1202	342
g80	0	0	0	0	0	0	1	4	0	4	0	1	1	0	0	2	0	0
g81	228	220	122	256	168	111	305	204	147	239	131	311	176	98	170	212	398	155
g82	1	1	6	4	4	8	8	1	4	1	7	0	22	12	34	5	2	2
g83	49	104	30	97	57	24	121	62	86	32	53	201	79	97	57	118	180	68
g84	605	4803	111	659	543	608	5305	2501	1368	193	1294	157	1346	586	1020	4456	1395	1083
g85	2171	1711	825	2437	3868	1069	1663	4082	3813	2397	1564	5035	4849	1387	1749	4336	5958	2166
g86	17	36	10	112	11	95	18	15	28	148	32	16	125	20	32	130	24	28
g87	1149	552	1048	1095	997	265	1139	1327	511	1916	1083	1390	1113	2104	1856	3541	2173	1122
g88	0	44	13	32	13	90	387	154	50	161	35	200	263	4	39	90	47	87
g89	4	28	6	30	9	1	3	100	2	47	13	112	3	20	45	0	69	36
g90	30	26	29	11	92	52	77	53	20	74	12	39	103	64	24	31	39	23
g91	6	1	3	28	2	0	17	2	5	11	4	10	13	4	11	6	10	5
g92	19	11	1	16	1	16	16	10	0	137	14	95	142	265	20	179	2	20
g93	312	54	15	353	491	325	464	174	393	442	128	664	3	39	163	503	241	324
g94	2662	2449	613	3119	2973	817	2234	2077	1200	2617	1114	1030	2141	1705	3845	1832	1361	2098
g95	233	439	231	315	122	289	273	218	199	419	413	217	276	340	215	803	499	256
g96	645	728	736	734	1224	1036	1267	1500	919	2774	1543	3490	2925	1778	2794	4620	2717	3215
g97	7737	7676	5480	8387	7598	3650	9629	9091	4921	8111	7843	8617	10935	6332	6868	8119	20881	4067
g98	1993	2092	1014	13084	1924	1947	3797	10648	5573	15258	8972	13409	25781	9306	27066	69547	20425	6882
g99	36	65	40	84	46	33	46	48	22	65	60	57	45	79	33	63	73	31
g100	9	6	0	0	0	0	24	0	0	6	1	0	0	43	7	0	0	11
g101	10	1	0	134	2	0	48	4	84	90	23	1	51	67	38	31	64	2
g102	474	954	501	1034	1199	545	1216	708	454	1204	329	793	1202	126	577	1185	1459	537
g103	25	253	64	41	40	3	110	215	255	178	119	40	304	117	45	36	428	58
g104	831	1155	409	1953	1006	1427	2989	638	1086	3272	1512	1385	2955	1663	1619	2547	2646	2201
g105	19	20	6	24	7	5	20	11	12	30	16	48	41	27	10	60	65	18
g106	286	569	103	115	111	166	445	152	59	177	135	328	243	233	158	390	202	240
g107	32	19	10	13	16	3	21	8	4	17	61	9	17	10	22	26	92	25
g108	11	14	15	9	14	2	5	17	27	27	32	15	49	3	49	42	66	27
g109	7	3	5	5	6	0	1	2	1	13	11	7	15	17	13	19	10	7
g110	1	10	1	8	2	0	5	11	0	9	8	1	13	31	9	27	18	5
g111	846	2062	1308	1817	1033	705	1828	1809	1552	1636	1912	1897	2690	1403	2345	3522	4505	1598
g112	337	1569	237	1594	430	1022	358	491	175	1550	26	804	1406	169	168	893	1885	844
g113	1180	5121	1003	3898	1166	2288	2046	2203	3425	615	2077	2483	3959	2587	3889	2361	3107	2011
g114	859	607	486	599	499	549	733	921	775	1358	664	952	1446	1368	893	2626	1541	1510
g115	66	67	43	126	67	59	60	76	78	128	138	71	131	55	72	141	138	72
g116	7	5	10	16	8	16	18	30	6	31	10	30	11	11	38	29	16	11
g117	721	1308	1122	2034	994	393	956	999	329	1895	1477	778	1442	1558	1609	1821	2089	1357
g118	14	22	0	0	12	12	6	12	0	15	1	57	11	14	0	7	13	0
g119	4	14	1	11	5	8	5	3	4	10	1	20	10	6	6	9	3	15
g120	36	26	23	44	35	36	13	15	20	100	34	138	32	76	69	29	200	220
g121	768	1208	439	1189	726	600	1006	937	1075	2263	1630	2487	2858	2171	1602	2939	3759	1790
g122	2	2	1	8	4	7	7	1	9	6	16	6	3	18	10	6	17	8
g123	254	1424	636	1649	2317	1900	2829	1768	1267	11587	7409	4092	9107	4829	2892	8101	5557	1821
g124	245	224	139	360	664	203	897	226	388	464	530	1923	1608	1108	1149	1015	896	861
g125	122	390	207	289	382	152	221	235	166	329	263	489	211	283	497	506	389	207
g126	95	110	90	189	88	41	87	299	105	128	193	215	346	173	270	239	218	139
g127	6	9	1	6	60	6	19	4	0	0	3	26	0	1	5	0	2	1
g128	7	27	7	9	26	12	26	33	9	9	2	71	9	21	11	32	18	24
g129	12	11	10	17	14	7	21	14	7	32	13	34	19	29	35	34	47	24
g130	7942	11292	6253	11442	13560	7142	16864	8029	7481	30360	16783	23306	37021	17465	13993	48085	32604	24282
g131	180	435	161	397	312	256	669	278	265	783	562	855	807	838	440	1801	1212	741
g132	271	359	104	211	55	375	327	174	48	128	275	330	240	298	488	453	829	224
g133	258	200	150	192	224	105	459	408	196	205	240	233	509	302	508	741	482	325
g134	3372	2990	2792	3832	2405	2338	2386	992	1993	3066	3756	5453	15079	7024	5806	4025	15515	8631
g135	443	256	157	435	255	646	161	710	266	113	327	1082	427	795	239	963	913	319
g136	81	121	58	120	97	109	139	129	54	203	154	224	388	226	236	396	287	250
g137	769	598	879	752	980	480	1153	966	975	911	538	609	1045	855	1441	814	814	1295
g138	1365	2026	1186	2817	1119	1472	3010	2754	1769	4287	4676	6623	6829	7427	3221	7339	10456	6147
g139	42	231	45	265	49	40	59	154	72	108	38	161	204	216	218	97	238	52
g140	0	1	3	1	9	0	0	0	0	4	4	8	0	15	0	2	22	12
g141	5	6	3	1	1	2	0	4	13	7	3	11	3	7	9	10	8	10
g142	3	12	3	6	2	6	7	4	12	16	3	32	3	2	1	10	9	6
g143	811	830	793	1062	871	758	1448	926	661	1288	1109	1888	1697	1366	1752	1988	2768	1363
g144	970	1347	788	1083	1786	4855	4625	521	2187	24148	6260	2882	3296	1704	849	4292	5822	3569
g145	14	17	67	31	5	35	72	5	2	9	109	129	22	6	10	42	25	15
g146	55	23	6	103	20	11	97	75	3	91	65	40	69	54	46	23	101	140
g147	745	1372	496	1011	667	713	1056	609	665	1342	1027	1047	2353	1403	1023	3265	3096	946
g148	18	35	9	11	27	0	0	4	9	1	2	209	472	2	3	139	0	0
g149	321	676	375	425	651	225	768	500	570	919	418	963	1116	944	834	836	1247	457
g150	458	1382	669	1530	1699	1318	2437	1000	849	3534	2482	5012	4937	3454	3301	8694	4482	3185
g151	114	140	161	135	107	85	219	170	124	156	342	340	332	171	320	478	499	262
g152	436	140	1026	83	81	89	6	325	20	153	580	18	38	401	95	4	192	1
g153	65	99	5	18	0	106	8	151	174	22	29	86	86	85	107	16	26	207
g154	16	6	6	6	9	14	21	15	10	14	3	17	15	11	7	9	18	7
g155	330	306	418	471	381	391	663	429	391	655	462	513	607	507	483	709	742	526
g156	66	51	44	66	79	53	91	103	53	85	69	140	103	65	69	153	223	74
g157	370	355	156	455	471	304	950	431	414	949	842	511	672	716	1017	637	1134	1238
g158	371	394	241	528	535	175	467	726	178	641	548	508	578	824	739	798	967	384
