"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g3341","g3341","g1322","g1322","g3341","g2082","g3341","g3341","g6709"
"g3741","g3741","g3341","g3341","g3731","g3341","g3731","g3731","g7450"
"g3867","g3867","g3741","g3741","g3741","g3731","g3741","g3741","g7489"
"g4255","g4255","g3867","g3867","g3809","g3741","g3867","g3867","g7944"
"g4354","g4354","g4255","g4255","g3867","g3809","g4255","g4255","g7957"
"g4631","g4631","g4354","g4354","g4255","g3867","g4354","g4354","g1817"
"g6211","g6211","g4631","g4631","g4354","g4255","g4631","g6211","g4697"
"g6709","g6709","g6133","g6133","g4631","g4354","g4658","g6709","g4880"
"g6813","g6813","g6211","g6211","g4658","g4631","g6133","g7139","g8376"
"g7450","g7139","g6709","g6709","g6133","g4658","g6211","g7450","g336"
"g7944","g7450","g6813","g6813","g6211","g6133","g6709","g7489","g7585"
"g9032","g7489","g7139","g7139","g6709","g6211","g6801","g7944","g1296"
"g2030","g7944","g7450","g7450","g6801","g6709","g7139","g7957","g1309"
"g3513","g8481","g7489","g7489","g6813","g6801","g7450","g8481","g8029"
"g3543","g9032","g7944","g7883","g7139","g6813","g7489","g9032","g5522"
"g4072","g1817","g8481","g7944","g7450","g7139","g7883","g9284","g7130"
"g4683","g2030","g9032","g7957","g7489","g7450","g7944","g1372",NA
"g4697","g2779","g1612","g8481","g7883","g7489","g7957","g1817",NA
"g4880","g3513","g1817","g9032","g7944","g7883","g8481","g2779",NA
"g6535","g3543","g2030","g1612","g7957","g7944","g8534","g3513",NA
"g6866","g4072","g2060","g1645","g8481","g7957","g9032","g3543",NA
"g7606","g4683","g2779","g1817","g8534","g8481","g1372","g4269",NA
"g8276","g4697","g3513","g2030","g9032","g8534","g1645","g4683",NA
"g9313","g4880","g3543","g2060","g1372","g9032","g1817","g4697",NA
"g1678","g6535","g4072","g2779","g1612","g1372","g2060","g4880",NA
"g1797","g6866","g4683","g3513","g1645","g1612","g2779","g5454",NA
"g2995","g7155","g4697","g3543","g1817","g1645","g3513","g5540",NA
"g3020","g7606","g4880","g4072","g2030","g1817","g3543","g6662",NA
"g336","g7756","g6535","g4683","g2060","g2030","g4072","g6866",NA
"g4003","g8276","g6866","g4697","g2779","g2060","g4269","g7155",NA
"g4044","g9313","g7155","g4880","g3513","g2779","g4683","g7495",NA
"g6662","g9852","g7491","g5540","g3543","g3513","g4697","g7706",NA
"g7917","g1678","g7606","g6535","g4072","g3543","g4880","g7756",NA
"g8660","g1797","g7756","g6662","g4683","g4072","g4913","g8462",NA
"g8713","g2957","g8276","g6866","g4697","g4683","g5319","g8831",NA
"g9406","g2995","g8831","g7155","g4880","g4697","g5454","g9313",NA
"g9842","g3020","g9313","g7491","g5319","g4880","g5540","g2995",NA
"g3583","g336","g9852","g7495","g5540","g5319","g6535","g3020",NA
"g4275","g4003","g1678","g7606","g6535","g5454","g6645","g336",NA
"g8134","g4044","g1797","g7756","g6645","g5540","g6662","g4003",NA
"g3537","g6662","g2120","g8276","g6662","g6535","g6866","g4044",NA
"g4440","g7569","g2957","g8831","g6812","g6645","g7155","g5282",NA
"g4473","g7917","g2995","g9313","g6866","g6662","g7491","g6509",NA
"g8818","g8660","g3020","g9852","g7155","g6812","g7495","g7569",NA
"g9898","g8713","g336","g1797","g7491","g6866","g7606","g7585",NA
"g4796","g9406","g4003","g2120","g7495","g7155","g7706","g7917",NA
"g5972","g9842","g4044","g2957","g7606","g7491","g7756","g8660",NA
"g7784","g1017","g6509","g2995","g7756","g7495","g8462","g9406",NA
"g7920","g3583","g6662","g3020","g8276","g7606","g8831","g9842",NA
"g9425","g4275","g7325","g336","g8462","g7706","g9313","g1296",NA
