"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g4796","g2928","g2147","g1751","g1613","g1086","g1751","g2380","g8029"
"g5972","g3279","g2928","g2147","g1751","g1613","g2374","g4492",NA
"g7784","g4796","g3279","g2928","g2147","g1751","g2380","g5972",NA
"g7920","g5241","g3734","g3020","g2928","g2374","g3020","g6071",NA
"g9425","g5962","g3997","g3279","g3020","g3020","g3060","g6793",NA
NA,"g5972","g4796","g3734","g3060","g3060","g3837","g9425",NA
NA,"g6071","g5241","g3997","g3279","g3734","g3997",NA,NA
NA,"g6793","g5962","g4796","g3734","g3997","g4492",NA,NA
NA,"g7784","g5972","g5214","g3997","g4492","g5241",NA,NA
NA,"g7920","g6071","g5241","g4269","g5241","g5962",NA,NA
NA,"g9425","g6793","g5962","g4796","g5962","g5972",NA,NA
NA,NA,"g7784","g5972","g5214","g5972","g6071",NA,NA
NA,NA,"g7920","g6071","g5241","g6071","g6771",NA,NA
NA,NA,"g9425","g6793","g5962","g6771","g6793",NA,NA
NA,NA,NA,"g7784","g5972","g6793","g7920",NA,NA
NA,NA,NA,"g7920","g6071","g7920","g9425",NA,NA
NA,NA,NA,"g9425","g6771","g9425",NA,NA,NA
NA,NA,NA,NA,"g6793",NA,NA,NA,NA
NA,NA,NA,NA,"g7784",NA,NA,NA,NA
NA,NA,NA,NA,"g7920",NA,NA,NA,NA
NA,NA,NA,NA,"g9425",NA,NA,NA,NA
