"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g1192","g1192","g1052","g1052","g1192","g1192","g1226","g1226","g1226"
"g1226","g1226","g1192","g1192","g1226","g1226","g1558","g1558","g4990"
"g3520","g2299","g1226","g1226","g1558","g1558","g2836","g2836","g7861"
"g3640","g3520","g2299","g1558","g2299","g3463","g3463","g3463",NA
"g7400","g3640","g3463","g2299","g3463","g3520","g3520","g3640",NA
"g7488","g6891","g3520","g3463","g3520","g3640","g3640","g4990",NA
"g7922","g7400","g3640","g3520","g3640","g4990","g4990","g5013",NA
"g8421","g7488","g6891","g3640","g6207","g5117","g5013","g5117",NA
"g9129","g7551","g7400","g6891","g6891","g6207","g5117","g7174",NA
"g9469","g7922","g7488","g7174","g7174","g6891","g6007","g7400",NA
NA,"g8421","g7551","g7400","g7400","g7174","g6207","g7488",NA
NA,"g8546","g7922","g7488","g7488","g7400","g6891","g7551",NA
NA,"g9129","g8095","g7551","g7551","g7488","g7174","g7646",NA
NA,"g9469","g8421","g7922","g7646","g7551","g7400","g7922",NA
NA,NA,"g8546","g8095","g7922","g7646","g7488","g8421",NA
NA,NA,"g9129","g8421","g8095","g7922","g7551","g9469",NA
NA,NA,"g9469","g8546","g8421","g8421","g7646","g9532",NA
NA,NA,NA,"g9129","g9129","g9129","g7922",NA,NA
NA,NA,NA,"g9469","g9469","g9469","g8421",NA,NA
NA,NA,NA,NA,"g9532","g9532","g9129",NA,NA
NA,NA,NA,NA,NA,NA,"g9469",NA,NA
NA,NA,NA,NA,NA,NA,"g9532",NA,NA
