"Threshold","True_Positives","False_Positives","True_Negatives","False_Negatives","Accuracy","Precision","Recall","F1_Score","FDR","Experiment"
0.01,139,16,9115,717,0.92660458596175,0.896774193548387,0.162383177570093,0.274975272007913,0.103225806451613,"3_500_500"
0.02,170,23,9108,686,0.92900771002303,0.880829015544041,0.198598130841121,0.324118207816969,0.119170984455959,"3_500_500"
0.03,185,27,9104,671,0.93010914188445,0.872641509433962,0.216121495327103,0.346441947565543,0.127358490566038,"3_500_500"
0.04,197,30,9101,659,0.93101031340743,0.86784140969163,0.230140186915888,0.363804247460757,0.13215859030837,"3_500_500"
0.05,203,37,9094,653,0.93091018323821,0.845833333333333,0.23714953271028,0.37043795620438,0.154166666666667,"3_500_500"
0.06,213,46,9085,643,0.93101031340743,0.822393822393822,0.248831775700935,0.382062780269058,0.177606177606178,"3_500_500"
0.07,229,53,9078,627,0.93191148493041,0.812056737588652,0.267523364485981,0.402460456942003,0.187943262411348,"3_500_500"
0.08,241,61,9070,615,0.932312005607289,0.798013245033113,0.281542056074766,0.416234887737478,0.201986754966887,"3_500_500"
0.09,244,65,9066,612,0.932211875438069,0.789644012944984,0.285046728971963,0.418884120171674,0.210355987055016,"3_500_500"
0.01,158,23,9088,720,0.925618179997998,0.87292817679558,0.17995444191344,0.298394711992446,0.12707182320442,"3_750_250"
0.02,184,34,9077,694,0.927119831814996,0.844036697247706,0.209567198177677,0.335766423357664,0.155963302752294,"3_750_250"
0.03,203,42,9069,675,0.928221043147462,0.828571428571429,0.23120728929385,0.36153161175423,0.171428571428571,"3_750_250"
0.04,211,47,9064,667,0.928521373510862,0.817829457364341,0.240318906605923,0.371478873239437,0.182170542635659,"3_750_250"
0.05,225,53,9058,653,0.929322254479928,0.809352517985611,0.25626423690205,0.389273356401384,0.190647482014388,"3_750_250"
0.06,239,58,9053,639,0.930223245570127,0.804713804713805,0.272209567198178,0.406808510638298,0.195286195286195,"3_750_250"
0.07,247,63,9048,631,0.930523575933527,0.796774193548387,0.281321184510251,0.415824915824916,0.203225806451613,"3_750_250"
0.08,248,65,9046,630,0.930423465812394,0.792332268370607,0.28246013667426,0.416456759026029,0.207667731629393,"3_750_250"
0.09,255,72,9039,623,0.930423465812394,0.779816513761468,0.290432801822323,0.423236514522822,0.220183486238532,"3_750_250"
0.01,163,24,9059,740,0.923492890046064,0.871657754010695,0.180509413067553,0.299082568807339,0.128342245989305,"3_1000_0"
0.02,191,32,9051,712,0.92549569397156,0.856502242152466,0.211517165005537,0.339253996447602,0.143497757847534,"3_1000_0"
0.03,208,38,9045,695,0.926597236130583,0.845528455284553,0.230343300110742,0.362053959965187,0.154471544715447,"3_1000_0"
0.04,216,42,9041,687,0.926997796915682,0.837209302325581,0.239202657807309,0.372093023255814,0.162790697674419,"3_1000_0"
0.05,230,48,9035,673,0.92779891848588,0.827338129496403,0.254706533776301,0.389500423370025,0.172661870503597,"3_1000_0"
0.06,239,52,9031,664,0.928299619467254,0.821305841924399,0.264673311184939,0.400335008375209,0.178694158075601,"3_1000_0"
0.07,250,56,9027,653,0.929000600841178,0.816993464052288,0.276854928017719,0.413564929693962,0.183006535947712,"3_1000_0"
0.08,256,60,9023,647,0.929200881233727,0.810126582278481,0.283499446290144,0.420016406890894,0.189873417721519,"3_1000_0"
0.09,269,61,9022,634,0.930402563589025,0.815151515151515,0.297895902547065,0.436334144363341,0.184848484848485,"3_1000_0"
0.01,352,10,9163,472,0.951785535660698,0.972375690607735,0.427184466019417,0.593591905564924,0.0276243093922652,"6_500_500"
0.02,386,19,9154,438,0.954286285885766,0.953086419753086,0.468446601941748,0.628152969894223,0.0469135802469136,"6_500_500"
0.03,409,26,9147,415,0.955886766029809,0.940229885057471,0.496359223300971,0.649722001588562,0.0597701149425287,"6_500_500"
0.04,421,33,9140,403,0.956386916074822,0.927312775330396,0.510922330097087,0.658841940532081,0.0726872246696035,"6_500_500"
0.05,433,35,9138,391,0.957387216164849,0.925213675213675,0.525485436893204,0.670278637770898,0.0747863247863248,"6_500_500"
0.06,445,47,9126,379,0.957387216164849,0.904471544715447,0.54004854368932,0.67629179331307,0.0955284552845529,"6_500_500"
0.07,454,53,9120,370,0.957687306191858,0.895463510848126,0.550970873786408,0.682193839218633,0.104536489151874,"6_500_500"
0.08,461,59,9114,363,0.95778733620086,0.886538461538461,0.559466019417476,0.686011904761905,0.113461538461538,"6_500_500"
0.09,471,62,9111,353,0.958487546263879,0.883677298311445,0.571601941747573,0.694178334561533,0.116322701688555,"6_500_500"
0.01,351,10,9161,475,0.95148544563369,0.972299168975069,0.424939467312349,0.591406908171862,0.0277008310249307,"6_750_250"
0.02,393,16,9155,433,0.955086525957787,0.960880195599022,0.475786924939467,0.636437246963563,0.039119804400978,"6_750_250"
0.03,420,26,9145,406,0.956787036110833,0.94170403587444,0.508474576271186,0.660377358490566,0.0582959641255605,"6_750_250"
0.04,436,35,9136,390,0.957487246173852,0.925690021231423,0.527845036319613,0.672320740169622,0.0743099787685775,"6_750_250"
0.05,449,36,9135,377,0.958687606281885,0.925773195876289,0.543583535108959,0.684973302822273,0.0742268041237113,"6_750_250"
0.06,466,46,9125,360,0.959387816344903,0.91015625,0.564164648910412,0.696562032884903,0.08984375,"6_750_250"
0.07,475,49,9122,351,0.95998799639892,0.906488549618321,0.575060532687651,0.703703703703704,0.0935114503816794,"6_750_250"
0.08,482,55,9116,344,0.960088026407922,0.897579143389199,0.583535108958838,0.707263389581805,0.102420856610801,"6_750_250"
0.09,489,63,9108,337,0.95998799639892,0.885869565217391,0.592009685230024,0.709724238026125,0.114130434782609,"6_750_250"
0.01,353,10,9096,537,0.945278111244498,0.972451790633609,0.396629213483146,0.563447725458899,0.0275482093663912,"6_1000_0"
0.02,394,25,9081,496,0.947879151660664,0.940334128878282,0.442696629213483,0.601986249045073,0.0596658711217184,"6_1000_0"
0.03,425,32,9074,465,0.950280112044818,0.929978118161926,0.47752808988764,0.631031922791388,0.0700218818380744,"6_1000_0"
0.04,440,38,9068,450,0.951180472188876,0.920502092050209,0.49438202247191,0.64327485380117,0.0794979079497908,"6_1000_0"
0.05,448,44,9062,442,0.951380552220888,0.910569105691057,0.503370786516854,0.648335745296672,0.0894308943089431,"6_1000_0"
0.06,456,55,9051,434,0.951080432172869,0.892367906066536,0.512359550561798,0.650963597430407,0.107632093933464,"6_1000_0"
0.07,462,62,9044,428,0.950980392156863,0.881679389312977,0.519101123595506,0.653465346534653,0.118320610687023,"6_1000_0"
0.08,469,68,9038,421,0.951080432172869,0.873370577281192,0.526966292134831,0.657323055360897,0.126629422718808,"6_1000_0"
0.09,474,73,9033,416,0.951080432172869,0.86654478976234,0.532584269662921,0.659707724425887,0.13345521023766,"6_1000_0"
0.01,475,11,9167,344,0.964489346804041,0.977366255144033,0.57997557997558,0.727969348659004,0.0226337448559671,"9_500_500"
0.02,512,23,9155,307,0.966990097029109,0.957009345794393,0.625152625152625,0.756277695716396,0.0429906542056075,"9_500_500"
0.03,530,28,9150,289,0.968290487146144,0.949820788530466,0.647130647130647,0.769789397240378,0.0501792114695341,"9_500_500"
0.04,543,35,9143,276,0.96889066720016,0.939446366782007,0.663003663003663,0.777380100214746,0.0605536332179931,"9_500_500"
0.05,552,40,9138,267,0.969290787236171,0.932432432432432,0.673992673992674,0.782423812898653,0.0675675675675676,"9_500_500"
0.06,563,48,9130,256,0.969590877263179,0.921440261865794,0.687423687423687,0.787412587412587,0.0785597381342062,"9_500_500"
0.07,570,52,9126,249,0.969890967290187,0.916398713826367,0.695970695970696,0.791117279666898,0.0836012861736334,"9_500_500"
0.08,576,57,9121,243,0.96999099729919,0.909952606635071,0.703296703296703,0.793388429752066,0.0900473933649289,"9_500_500"
0.09,578,62,9116,241,0.969690907272182,0.903125,0.705738705738706,0.792323509252913,0.096875,"9_500_500"
0.01,493,11,9141,354,0.963496349634963,0.978174603174603,0.582054309327037,0.729829755736491,0.0218253968253968,"9_750_250"
0.02,529,22,9130,318,0.965996599659966,0.960072595281307,0.624557260920897,0.756795422031474,0.0399274047186933,"9_750_250"
0.03,549,34,9118,298,0.966796679667967,0.941680960548885,0.648170011806375,0.767832167832168,0.0583190394511149,"9_750_250"
0.04,563,39,9113,284,0.967696769676968,0.935215946843854,0.66469893742621,0.777087646652864,0.0647840531561462,"9_750_250"
0.05,569,42,9110,278,0.967996799679968,0.93126022913257,0.671782762691854,0.780521262002744,0.0687397708674304,"9_750_250"
0.06,576,53,9099,271,0.967596759675968,0.915739268680445,0.680047225501771,0.780487804878049,0.0842607313195548,"9_750_250"
0.07,580,57,9095,267,0.967596759675968,0.910518053375196,0.684769775678867,0.78167115902965,0.0894819466248038,"9_750_250"
0.08,592,61,9091,255,0.968396839683968,0.906584992343032,0.698937426210154,0.789333333333333,0.0934150076569678,"9_750_250"
0.09,600,74,9078,247,0.967896789678968,0.890207715133531,0.708382526564345,0.788954635108481,0.109792284866469,"9_750_250"
0.01,432,11,9139,417,0.957195719571957,0.975169300225734,0.508833922261484,0.668730650154799,0.0248306997742664,"9_1000_0"
0.02,467,20,9130,382,0.95979597959796,0.958932238193018,0.550058892815077,0.699101796407186,0.0410677618069815,"9_1000_0"
0.03,484,21,9129,365,0.961396139613961,0.958415841584158,0.570082449941107,0.714918759231906,0.0415841584158416,"9_1000_0"
0.04,501,31,9119,348,0.962096209620962,0.941729323308271,0.590106007067138,0.725561187545257,0.0582706766917293,"9_1000_0"
