"Threshold","True_Positives","False_Positives","True_Negatives","False_Negatives","Accuracy","Precision","Recall","F1_Score","FDR","Experiment"
0.1,817,5860,3282,28,0.410433563632723,0.12236034147072,0.966863905325444,0.217229460249934,0.87763965852928,"3_500_500"
0.2,761,4077,5128,21,0.589666566536497,0.157296403472509,0.973145780051151,0.270818505338078,0.842703596527491,"3_500_500"
0.3,688,2633,6652,14,0.734955442074697,0.207166516109606,0.98005698005698,0.342033308476262,0.792833483890394,"3_500_500"
0.4,612,1636,7728,11,0.835085611294683,0.272241992882562,0.982343499197432,0.426332288401254,0.727758007117438,"3_500_500"
0.5,531,971,8477,8,0.901972564333634,0.35352862849534,0.985157699443414,0.520333170014699,0.64647137150466,"3_500_500"
0.6,414,541,9029,3,0.945529187944328,0.433507853403141,0.992805755395683,0.603498542274052,0.566492146596859,"3_500_500"
0.7,305,230,9452,0,0.976970061079403,0.570093457943925,1,0.726190476190476,0.429906542056075,"3_500_500"
0.8,169,84,9734,0,0.991589065785521,0.66798418972332,1,0.800947867298578,0.33201581027668,"3_500_500"
0.9,52,13,9922,0,0.99869830780014,0.8,1,0.888888888888889,0.2,"3_500_500"
0.1,814,5766,3372,37,0.41906096706377,0.12370820668693,0.956521739130435,0.219082223119365,0.87629179331307,"3_750_250"
0.2,784,3948,5234,23,0.602462708979878,0.165680473372781,0.971499380421313,0.283083589095505,0.834319526627219,"3_750_250"
0.3,718,2616,6637,18,0.736309940935029,0.215356928614277,0.97554347826087,0.352825552825553,0.784643071385723,"3_750_250"
0.4,644,1581,7753,11,0.840624687155871,0.289438202247191,0.983206106870229,0.447222222222222,0.710561797752809,"3_750_250"
0.5,563,899,8519,8,0.909200120132145,0.385088919288646,0.985989492119089,0.553861288735858,0.614911080711354,"3_750_250"
0.6,462,484,9038,5,0.951046150765842,0.488372093023256,0.989293361884368,0.653927813163482,0.511627906976744,"3_750_250"
0.7,338,225,9424,2,0.977275002502753,0.600355239786856,0.994117647058824,0.748615725359911,0.399644760213144,"3_750_250"
0.8,215,76,9697,1,0.99229152067274,0.738831615120275,0.99537037037037,0.848126232741617,0.261168384879725,"3_750_250"
0.9,64,16,9909,0,0.998398238061868,0.8,1,0.888888888888889,0.2,"3_750_250"
0.1,822,5804,3317,43,0.414480272381334,0.124056746151524,0.95028901734104,0.219463356027233,0.875943253848476,"3_1000_0"
0.2,785,4093,5084,24,0.587722811936711,0.160926609266093,0.970333745364648,0.27606822577809,0.839073390733907,"3_1000_0"
0.3,721,2671,6579,15,0.731023432805928,0.212558962264151,0.979619565217391,0.349321705426357,0.787441037735849,"3_1000_0"
0.4,638,1658,7683,7,0.833266573202483,0.27787456445993,0.989147286821705,0.433866031961918,0.72212543554007,"3_1000_0"
0.5,548,959,8474,5,0.903464850791107,0.363636363636364,0.990958408679928,0.532038834951456,0.636363636363636,"3_1000_0"
0.6,449,509,9024,4,0.948628079311035,0.468684759916493,0.991169977924945,0.636428065201984,0.531315240083507,"3_1000_0"
0.7,349,249,9384,4,0.974664530342479,0.583612040133779,0.988668555240793,0.733964248159832,0.416387959866221,"3_1000_0"
0.8,219,81,9685,1,0.991788503905468,0.73,0.995454545454545,0.842307692307692,0.27,"3_1000_0"
0.9,62,8,9915,1,0.999098738233527,0.885714285714286,0.984126984126984,0.932330827067669,0.114285714285714,"3_1000_0"
0.1,808,5287,3892,10,0.470141042312694,0.132567678424938,0.987775061124694,0.233762476493563,0.867432321575062,"6_500_500"
0.2,786,3414,5791,6,0.657897369210763,0.187142857142857,0.992424242424242,0.314903846153846,0.812857142857143,"6_500_500"
0.3,734,2073,7186,4,0.79223767130139,0.261489134307089,0.994579945799458,0.41410437235543,0.738510865692911,"6_500_500"
0.4,684,1157,8152,4,0.883865159547864,0.371537208039109,0.994186046511628,0.540925266903915,0.628462791960891,"6_500_500"
0.5,600,575,8822,0,0.942482744823447,0.51063829787234,1,0.676056338028169,0.48936170212766,"6_500_500"
0.6,507,288,9202,0,0.971191357407222,0.637735849056604,1,0.778801843317972,0.362264150943396,"6_500_500"
0.7,372,116,9509,0,0.988396518955687,0.762295081967213,1,0.865116279069768,0.237704918032787,"6_500_500"
0.8,227,33,9737,0,0.996699009702911,0.873076923076923,1,0.932238193018481,0.126923076923077,"6_500_500"
0.9,57,4,9936,0,0.999599879963989,0.934426229508197,1,0.966101694915254,0.0655737704918033,"6_500_500"
0.1,835,5292,3860,10,0.46964089226768,0.136282030357434,0.988165680473373,0.239529546758462,0.863717969642566,"6_750_250"
0.2,819,3381,5790,7,0.66109832949885,0.195,0.991525423728814,0.325905292479109,0.805,"6_750_250"
0.3,791,2008,7194,4,0.798739621886566,0.28260092890318,0.994968553459119,0.440178074568726,0.71739907109682,"6_750_250"
0.4,707,1097,8190,3,0.889966990097029,0.391906873614191,0.995774647887324,0.562450278440732,0.608093126385809,"6_750_250"
0.5,621,571,8805,0,0.942882864859458,0.520973154362416,1,0.685052399338114,0.479026845637584,"6_750_250"
0.6,514,266,9217,0,0.973392017605282,0.658974358974359,1,0.794435857805255,0.341025641025641,"6_750_250"
0.7,391,96,9510,0,0.990397119135741,0.802874743326489,1,0.890660592255125,0.197125256673511,"6_750_250"
0.8,228,25,9744,0,0.997499249774932,0.901185770750988,1,0.948024948024948,0.0988142292490119,"6_750_250"
0.9,69,4,9924,0,0.999599879963989,0.945205479452055,1,0.971830985915493,0.0547945205479452,"6_750_250"
0.1,854,5256,3874,12,0.472989195678271,0.139770867430442,0.986143187066975,0.244839449541284,0.860229132569558,"6_1000_0"
0.2,825,3361,5801,9,0.662865146058423,0.19708552317248,0.989208633093525,0.328685258964143,0.80291447682752,"6_1000_0"
0.3,792,1999,7200,5,0.799519807923169,0.283769258330348,0.993726474278545,0.441471571906355,0.716230741669653,"6_1000_0"
0.4,728,1104,8161,3,0.889255702280912,0.397379912663755,0.995896032831737,0.568084276238783,0.602620087336245,"6_1000_0"
0.5,653,548,8794,1,0.945078031212485,0.543713572023314,0.998470948012232,0.704043126684636,0.456286427976686,"6_1000_0"
0.6,541,255,9200,0,0.974489795918367,0.67964824120603,1,0.80927449513837,0.32035175879397,"6_1000_0"
0.7,406,101,9489,0,0.989895958383353,0.800788954635108,1,0.889375684556407,0.199211045364892,"6_1000_0"
0.8,254,31,9711,0,0.996898759503801,0.891228070175439,1,0.942486085343228,0.108771929824561,"6_1000_0"
0.9,64,8,9924,0,0.999199679871949,0.888888888888889,1,0.941176470588235,0.111111111111111,"6_1000_0"
0.1,816,4955,4222,4,0.503951185355607,0.141396638364235,0.995121951219512,0.247610377787893,0.858603361635765,"9_500_500"
0.2,803,2932,6259,3,0.706411923577073,0.214993306559572,0.996277915632754,0.353666593261396,0.785006693440428,"9_500_500"
0.3,773,1662,7561,1,0.833650095028509,0.317453798767967,0.998708010335917,0.481770021813649,0.682546201232033,"9_500_500"
0.4,714,832,8451,0,0.916775032509753,0.461836998706339,1,0.631858407079646,0.538163001293661,"9_500_500"
0.5,649,416,8932,0,0.958387516254877,0.609389671361502,1,0.757292882147025,0.390610328638498,"9_500_500"
0.6,544,180,9273,0,0.981994598379514,0.751381215469613,1,0.858044164037855,0.248618784530387,"9_500_500"
0.7,397,59,9541,0,0.994098229468841,0.870614035087719,1,0.930832356389215,0.129385964912281,"9_500_500"
0.8,251,14,9732,0,0.998599579873962,0.947169811320755,1,0.972868217054264,0.0528301886792453,"9_500_500"
0.9,68,2,9927,0,0.999799939981995,0.971428571428571,1,0.985507246376812,0.0285714285714286,"9_500_500"
0.1,836,4950,4206,7,0.504250425042504,0.144486692015209,0.991696322657177,0.25222507165485,0.855513307984791,"9_750_250"
0.2,826,2902,6269,2,0.70957095709571,0.22156652360515,0.997584541062802,0.362598770851624,0.77843347639485,"9_750_250"
0.3,800,1612,7586,1,0.838683868386839,0.33167495854063,0.998751560549313,0.497976968565204,0.66832504145937,"9_750_250"
0.4,754,828,8416,1,0.917091709170917,0.47661188369153,0.998675496688742,0.645271715875053,0.52338811630847,"9_750_250"
0.5,675,408,8915,1,0.959095909590959,0.623268698060942,0.998520710059172,0.767481523592951,0.376731301939058,"9_750_250"
0.6,562,182,9255,0,0.981798179817982,0.755376344086022,1,0.860643185298622,0.244623655913978,"9_750_250"
0.7,431,55,9513,0,0.994499449944995,0.886831275720165,1,0.940021810250818,0.113168724279835,"9_750_250"
0.8,279,22,9698,0,0.997799779977998,0.926910299003322,1,0.962068965517241,0.0730897009966777,"9_750_250"
0.9,80,1,9918,0,0.999899989999,0.987654320987654,1,0.993788819875776,0.0123456790123457,"9_750_250"
0.1,852,4979,4160,8,0.501250125012501,0.14611558909278,0.990697674418605,0.254670452847108,0.85388441090722,"9_1000_0"
0.2,828,3017,6148,6,0.697669766976698,0.215344603381014,0.992805755395683,0.353921778157726,0.784655396618986,"9_1000_0"
0.3,802,1649,7544,4,0.834683468346835,0.327213382292942,0.995037220843672,0.492477740251765,0.672786617707058,"9_1000_0"
0.4,750,867,8379,3,0.912991299129913,0.463821892393321,0.99601593625498,0.632911392405063,0.536178107606679,"9_1000_0"
0.5,676,413,8909,1,0.958595859585959,0.620752984389348,0.998522895125554,0.765571913929785,0.379247015610652,"9_1000_0"
0.6,561,194,9243,1,0.98049804980498,0.743046357615894,0.998220640569395,0.851936218678815,0.256953642384106,"9_1000_0"
0.7,413,72,9514,0,0.992799279927993,0.851546391752577,1,0.919821826280624,0.148453608247423,"9_1000_0"
0.8,262,21,9716,0,0.997899789978998,0.925795053003534,1,0.961467889908257,0.0742049469964664,"9_1000_0"
0.9,64,2,9933,0,0.999799979998,0.96969696969697,1,0.984615384615385,0.0303030303030303,"9_1000_0"
