"Threshold","True_Positives","False_Positives","True_Negatives","False_Negatives","Accuracy","Precision","Recall","F1_Score","FDR","Experiment"
0.01,201,30,9057,699,0.92700510663863,0.87012987012987,0.223333333333333,0.355437665782493,0.12987012987013,"3_500_500"
0.02,231,48,9039,669,0.92820666866927,0.827956989247312,0.256666666666667,0.391857506361323,0.172043010752688,"3_500_500"
0.03,257,66,9021,643,0.92900771002303,0.795665634674923,0.285555555555556,0.420278004905969,0.204334365325077,"3_500_500"
0.04,267,74,9013,633,0.92920797036147,0.782991202346041,0.296666666666667,0.430298146655923,0.217008797653959,"3_500_500"
0.05,279,87,9000,621,0.92910784019225,0.762295081967213,0.31,0.440758293838863,0.237704918032787,"3_500_500"
0.06,283,93,8994,617,0.92890757985381,0.752659574468085,0.314444444444444,0.443573667711599,0.247340425531915,"3_500_500"
0.07,293,106,8981,607,0.92860718934615,0.734335839598998,0.325555555555556,0.451116243264049,0.265664160401002,"3_500_500"
0.08,300,116,8971,600,0.92830679883849,0.721153846153846,0.333333333333333,0.455927051671732,0.278846153846154,"3_500_500"
0.09,303,121,8966,597,0.92810653850005,0.714622641509434,0.336666666666667,0.457703927492447,0.285377358490566,"3_500_500"
0.01,202,43,9058,686,0.927019721693863,0.824489795918367,0.227477477477477,0.35657546337158,0.175510204081633,"3_750_250"
0.02,235,64,9037,653,0.928221043147462,0.785953177257525,0.26463963963964,0.395956192080876,0.214046822742475,"3_750_250"
0.03,253,72,9029,635,0.929222144358795,0.778461538461538,0.28490990990991,0.41714756801319,0.221538461538462,"3_750_250"
0.04,265,87,9014,623,0.928921813995395,0.752840909090909,0.298423423423423,0.42741935483871,0.247159090909091,"3_750_250"
0.05,273,101,9000,615,0.928321153268595,0.729946524064171,0.307432432432432,0.432646592709984,0.270053475935829,"3_750_250"
0.06,281,109,8992,607,0.928321153268595,0.720512820512821,0.316441441441441,0.439749608763693,0.279487179487179,"3_750_250"
0.07,294,122,8979,594,0.928321153268595,0.706730769230769,0.331081081081081,0.450920245398773,0.293269230769231,"3_750_250"
0.08,304,132,8969,584,0.928321153268595,0.697247706422018,0.342342342342342,0.459214501510574,0.302752293577982,"3_750_250"
0.09,315,145,8956,573,0.928120933026329,0.684782608695652,0.35472972972973,0.467359050445104,0.315217391304348,"3_750_250"
0.01,214,40,8986,746,0.921289805728019,0.84251968503937,0.222916666666667,0.352553542009885,0.15748031496063,"3_1000_0"
0.02,234,59,8967,726,0.921389945924294,0.798634812286689,0.24375,0.373503591380686,0.201365187713311,"3_1000_0"
0.03,256,68,8958,704,0.922691768475866,0.790123456790123,0.266666666666667,0.398753894080997,0.209876543209877,"3_1000_0"
0.04,266,73,8953,694,0.92319246945724,0.784660766961652,0.277083333333333,0.409545804464973,0.215339233038348,"3_1000_0"
0.05,275,83,8943,685,0.923092329260965,0.768156424581006,0.286458333333333,0.417298937784522,0.231843575418994,"3_1000_0"
0.06,283,92,8934,677,0.922992189064691,0.754666666666667,0.294791666666667,0.423970037453184,0.245333333333333,"3_1000_0"
0.07,293,104,8922,667,0.922791908672141,0.738035264483627,0.305208333333333,0.431834929992631,0.261964735516373,"3_1000_0"
0.08,298,110,8916,662,0.922691768475866,0.730392156862745,0.310416666666667,0.435672514619883,0.269607843137255,"3_1000_0"
0.09,305,119,8907,655,0.922491488083317,0.719339622641509,0.317708333333333,0.440751445086705,0.280660377358491,"3_1000_0"
0.01,349,15,9083,550,0.943483044913474,0.958791208791209,0.388209121245829,0.552652414885194,0.0412087912087912,"6_500_500"
